latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-12.05306,-45.88427,343.6,0.76,0.77,2020-10-02,0324,N,VIIRS,n,2.0NRT,287.8,11.4,N
-12.04746,-45.8755,329,0.76,0.77,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.7,28.9,N
-12.04593,-45.88276,367,0.76,0.77,2020-10-02,0324,N,VIIRS,h,2.0NRT,301,29.4,N
-12.04441,-45.89003,323.4,0.76,0.77,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.4,29.4,N
-12.0388,-45.8813,318.4,0.76,0.77,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.8,29.4,N
-12.10844,-45.07238,309.2,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.9,3.3,N
-12.10711,-45.07863,327,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.6,3.3,N
-12.10455,-45.05736,304.4,0.67,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.4,3.1,N
-12.1006,-45.07582,313.8,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.6,5.7,N
-12.10321,-45.06359,321.8,0.67,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.8,3.1,N
-12.1019,-45.06975,334.4,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,294.6,5.7,N
-12.09824,-45.05363,309.8,0.67,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.2,3.1,N
-12.10822,-45.07334,314.9,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.9,5.2,N
-12.10692,-45.07961,321.8,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.4,5.4,N
-12.10424,-45.05822,305.6,0.67,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.5,3.9,N
-12.10041,-45.07674,312.7,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.4,5.4,N
-12.10294,-45.0645,322.2,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.8,5.2,N
-12.10167,-45.07065,333.4,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,294.5,5.2,N
-12.09792,-45.05448,310.1,0.67,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.9,2.6,N
-12.02102,-44.35542,310.2,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.3,4.6,N
-12.02218,-44.34973,326.2,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.9,4.8,N
-12.01795,-44.33708,302.8,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.5,1.9,N
-12.01422,-44.35529,307.1,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.1,3.3,N
-12.01668,-44.34329,327.2,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.8,4.6,N
-12.01545,-44.34931,320.1,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.9,4.6,N
-12.01112,-44.33716,304.6,0.6,0.71,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.9,1.9,N
-12.05234,-43.41677,315.4,0.53,0.67,2020-10-02,0324,N,VIIRS,n,2.0NRT,293.1,2.2,N
-12.04623,-43.4151,305.2,0.53,0.67,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.5,1.5,N
